Column1,A,B,C,D,E,F,G,result,month,year,time
27,13-01-2016 06:03,13-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,4e28f34f-dff3-4f1a-93f5-f29b4dbe46b3,BANK_TRANSFER,EUR,199.79,18,1.0,2016.0,06:03:00
28,13-01-2016 09:24,13-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,a0798c9a-42cc-49f9-a0cb-f3d7b1e3bd68,TOPUP,GBP,161.28,27,1.0,2016.0,09:24:00
29,13-01-2016 10:34,13-01-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,97a5e20a-73e5-4ac9-bbdb-91d1935022cc,ATM,GBP,31.83,43,1.0,2016.0,10:34:00
30,13-01-2016 13:50,13-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,ce26675f-0b27-4ffc-a559-3eaa97b0652d,BANK_TRANSFER,EUR,342.67,78,1.0,2016.0,13:50:00
31,13-01-2016 16:58,13-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,efa7da75-94e7-4efc-bf87-6549ff9b066e,BANK_TRANSFER,GBP,345.06,78,1.0,2016.0,16:58:00
32,13-01-2016 17:49,13-01-2016,61eacba2-b774-44db-a54c-4e69fe20da84,040220ef-75b9-4c13-92db-4d5cbd744609,TOPUP,EUR,22.77,23,1.0,2016.0,17:49:00
33,13-01-2016 19:22,13-01-2016,427ae52f-af71-46be-b9aa-d505783c9693,2ee0d874-6311-4270-8a40-be4f4f25f558,BANK_TRANSFER,EUR,119.95,26,1.0,2016.0,19:22:00
34,13-01-2016 20:01,13-01-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,6e52435c-018a-482a-ba23-6aac66fdd2f7,CARD_PAYMENT,GBP,7.49,61,1.0,2016.0,20:01:00
35,14-01-2016 02:26,14-01-2016,c483216d-b457-44cc-bdab-9a65f44c9620,ca63287b-3362-4142-a78a-6e7e9e3ed6e9,ATM,GBP,95.98,17,1.0,2016.0,02:26:00
36,14-01-2016 02:28,14-01-2016,c483216d-b457-44cc-bdab-9a65f44c9620,95dbe8c0-b2ae-40fa-b665-8b4428488818,BANK_TRANSFER,EUR,111.14,17,1.0,2016.0,02:28:00
37,14-01-2016 03:08,14-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,eeba3e01-0dc4-466c-b020-a4e6beef1292,ATM,GBP,228.94,27,1.0,2016.0,03:08:00
38,14-01-2016 03:09,14-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,dfeddacb-ea74-435d-b12f-a25a923d70c5,TOPUP,GBP,238.09,27,1.0,2016.0,03:09:00
39,14-01-2016 10:09,14-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,92a0d966-e69f-4dea-a0ba-3a8ef08e2db7,ATM,EUR,95.82,78,1.0,2016.0,10:09:00
40,14-01-2016 11:08,14-01-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,5046b68f-94fc-4064-8fa8-d2bd54442a5a,TOPUP,EUR,224.24,43,1.0,2016.0,11:08:00
41,14-01-2016 14:48,14-01-2016,2e9e1e2f-e61c-44c3-adb4-4cb6f9c10d5b,69efcf57-101e-439d-919b-9cff880f1976,BANK_TRANSFER,EUR,269.92,3,1.0,2016.0,14:48:00
42,14-01-2016 15:12,14-01-2016,2e9e1e2f-e61c-44c3-adb4-4cb6f9c10d5b,c38af818-e4f3-4407-b284-b27762f92ce1,ATM,GBP,117.21,3,1.0,2016.0,15:12:00
43,14-01-2016 19:46,14-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,c03c3df2-d916-4fea-b937-e7503093bff4,TOPUP,EUR,87.91,78,1.0,2016.0,19:46:00
44,14-01-2016 20:20,14-01-2016,45e3c222-38ac-4fdb-b092-ff1639e4438c,0edc1355-4e23-4dd8-ab3e-92b4aa6adcb8,CARD_PAYMENT,GBP,314.37,43,1.0,2016.0,20:20:00
45,15-01-2016 01:16,15-01-2016,5fd70cca-1685-40ad-a312-7d387f6911a9,0f1fc295-801b-4c01-abb9-3474a8bbfcaf,TOPUP,EUR,339.59,40,1.0,2016.0,01:16:00
46,15-01-2016 01:16,15-01-2016,5fd70cca-1685-40ad-a312-7d387f6911a9,86be8ee2-af87-4ef5-afdb-8188566b4a3b,TOPUP,EUR,55.69,40,1.0,2016.0,01:16:00
47,15-01-2016 04:53,15-01-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,758f2f18-eb3a-4f1e-8559-13e71d7549b4,BANK_TRANSFER,GBP,327.22,43,1.0,2016.0,04:53:00
48,15-01-2016 05:49,15-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,46dbce4a-8c72-4372-8362-6cfbe8ea05fa,CARD_PAYMENT,EUR,21.98,18,1.0,2016.0,05:49:00
49,15-01-2016 09:21,15-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,3ecfb13d-6191-45e6-a230-bc8c5403a7d8,BANK_TRANSFER,GBP,198.18,27,1.0,2016.0,09:21:00
50,15-01-2016 12:25,15-01-2016,ea86c877-ff87-4caa-8b76-3a05b89850d1,ae348920-ac04-43cc-8e42-355dcab7e8ff,ATM,GBP,301.58,15,1.0,2016.0,12:25:00
51,15-01-2016 15:40,15-01-2016,a48ea4fc-63ed-4049-af39-b1479ea29bce,d3476408-4531-4dbd-a5bd-69585366f7a7,P2P_TRANSFER,GBP,288.51,2,1.0,2016.0,15:40:00
52,15-01-2016 19:47,15-01-2016,9755fcd7-25f2-48a1-b00e-37b38ba81813,d6ff3596-0a86-4e12-bb0e-3b60c0c32540,TOPUP,EUR,67.38,4,1.0,2016.0,19:47:00
53,16-01-2016 00:07,16-01-2016,48eef0ad-9929-4944-9e51-35de36b67ffd,c7dddcc9-2a5e-4176-b3c3-23ec1ae27061,ATM,GBP,317.54,3,1.0,2016.0,00:07:00
54,16-01-2016 03:17,16-01-2016,87a390af-2f35-40ec-a111-16d43fc5a3e3,36105504-d72d-4e73-8294-8ff246e16c52,ATM,EUR,124.56,58,1.0,2016.0,03:17:00
55,16-01-2016 04:51,16-01-2016,c483216d-b457-44cc-bdab-9a65f44c9620,c1a898c7-e56f-439a-b874-5d9542af6a3a,P2P_TRANSFER,GBP,208.43,17,1.0,2016.0,04:51:00
56,16-01-2016 04:51,16-01-2016,c483216d-b457-44cc-bdab-9a65f44c9620,f4387472-2a4f-44a2-8b36-6b50d6ea9b30,TOPUP,GBP,233.77,17,1.0,2016.0,04:51:00
57,16-01-2016 08:13,16-01-2016,270549de-8b76-4fd2-ad80-842f81b647a8,38ebc060-3fb1-468f-a8ed-b353606cdbf0,BANK_TRANSFER,GBP,166.58,2,1.0,2016.0,08:13:00
58,16-01-2016 08:14,16-01-2016,270549de-8b76-4fd2-ad80-842f81b647a8,b12e30e2-58f8-4924-81ed-b0509487cd3b,ATM,GBP,13.68,2,1.0,2016.0,08:14:00
59,16-01-2016 10:06,16-01-2016,45e3c222-38ac-4fdb-b092-ff1639e4438c,b1f7f14c-105c-4d97-89db-6edf487d4db5,BANK_TRANSFER,EUR,264.35,43,1.0,2016.0,10:06:00
60,16-01-2016 10:14,16-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,9d740eeb-4415-46e2-9fb9-36dd8677ece6,ATM,GBP,217.28,78,1.0,2016.0,10:14:00
61,16-01-2016 10:51,16-01-2016,b5fef97e-cb5b-4b1b-b09c-3457ed922aea,ad6c11cb-d8d2-4b53-934c-4a402ce73aff,TOPUP,GBP,75.31,7,1.0,2016.0,10:51:00
62,16-01-2016 11:42,16-01-2016,da64c6d7-6210-499c-8faa-9312bce4611d,3879456b-8119-4c52-81ab-ef1c606b23ee,TOPUP,GBP,236.09,6,1.0,2016.0,11:42:00
63,16-01-2016 12:41,16-01-2016,c89e7a90-9612-4eda-b7be-cbb06719a1a9,4ab8e15e-8a15-4330-a23e-f9498becf5d6,TOPUP,GBP,98.7,9,1.0,2016.0,12:41:00
64,16-01-2016 12:43,16-01-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,68932fa9-ce32-414b-8b64-fffaecab26a4,CARD_PAYMENT,GBP,166.55,61,1.0,2016.0,12:43:00
65,16-01-2016 19:07,16-01-2016,6a94069c-cc53-4e82-b2eb-bc125ced3edc,ff9812b1-cc3b-4a33-a2b0-d78356f618ef,TOPUP,GBP,96.36,40,1.0,2016.0,19:07:00
66,16-01-2016 22:03,16-01-2016,44ce4a0d-012e-4fdb-82f1-b006799b7450,5b2f03d5-af43-4ca2-a448-474cf24ef037,ATM,EUR,136.54,14,1.0,2016.0,22:03:00
67,16-01-2016 22:03,16-01-2016,97528ad1-413e-461a-9083-188da333c9e1,d2ec4388-aa2d-4c8c-a4ab-301ad99f03ae,ATM,GBP,51.08,38,1.0,2016.0,22:03:00
68,16-01-2016 22:04,16-01-2016,97528ad1-413e-461a-9083-188da333c9e1,8de9ba35-1c72-401f-b96d-ab93717d5cb5,TOPUP,EUR,153.19,38,1.0,2016.0,22:04:00
69,16-01-2016 22:05,16-01-2016,97528ad1-413e-461a-9083-188da333c9e1,7f597266-1ce2-4148-89c8-4768a3a7b5d1,TOPUP,GBP,119.79,38,1.0,2016.0,22:05:00
70,16-01-2016 22:07,16-01-2016,97528ad1-413e-461a-9083-188da333c9e1,31a82a63-b0b3-4a2b-964c-3a47a866d58e,ATM,GBP,251.94,38,1.0,2016.0,22:07:00
71,17-01-2016 02:19,17-01-2016,48eef0ad-9929-4944-9e51-35de36b67ffd,d5939590-42d9-4fb1-a990-75326d4302d6,CARD_PAYMENT,GBP,159.03,3,1.0,2016.0,02:19:00
72,17-01-2016 07:14,17-01-2016,b1693eae-6a23-49af-be37-14ecdb77ab6f,67e3232a-2dec-4b78-91d7-c2237cbe39a9,ATM,EUR,72.41,43,1.0,2016.0,07:14:00
73,17-01-2016 10:16,17-01-2016,97528ad1-413e-461a-9083-188da333c9e1,7a1d8690-f6af-4fd3-b439-5401bd361154,ATM,GBP,242.82,38,1.0,2016.0,10:16:00
74,17-01-2016 12:09,17-01-2016,97528ad1-413e-461a-9083-188da333c9e1,9ffdfb00-5b8b-4b2a-ad7d-5d123491edae,CARD_PAYMENT,GBP,185.32,38,1.0,2016.0,12:09:00
75,17-01-2016 14:25,17-01-2016,26e8432c-5fdb-4b67-82e6-18f341d511a1,1d53e06e-8c5a-4fcb-a56f-ce9108f803e0,ATM,GBP,106.59,61,1.0,2016.0,14:25:00
76,17-01-2016 18:50,17-01-2016,a48ea4fc-63ed-4049-af39-b1479ea29bce,12b638f8-acd5-4079-a390-0b4b82b3223f,BANK_TRANSFER,EUR,315.16,2,1.0,2016.0,18:50:00
77,17-01-2016 23:45,17-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,16e6b70f-1fa6-4776-8d62-840e025d7ef2,BANK_TRANSFER,GBP,225.9,18,1.0,2016.0,23:45:00
78,18-01-2016 00:35,18-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,70928e64-5cb3-44b2-887e-37f2bfcccc75,ATM,GBP,165.23,27,1.0,2016.0,00:35:00
79,18-01-2016 05:00,18-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,bacd1b39-f073-46be-9386-9ae979eba901,ATM,GBP,76.89,18,1.0,2016.0,05:00:00
80,18-01-2016 05:31,18-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,d6a4a31a-9f1d-4463-9b6b-44bd364b39e5,BANK_TRANSFER,EUR,255.53,78,1.0,2016.0,05:31:00
81,18-01-2016 05:45,18-01-2016,be8a8ecd-f910-416a-9ced-b6647bad6d08,09f67003-0100-45a0-b760-02aaef4a1e1b,CARD_PAYMENT,EUR,310.4,6,1.0,2016.0,05:45:00
82,18-01-2016 07:38,18-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,f9606447-ab90-4928-84d7-5577936fc7c6,TOPUP,GBP,272.07,27,1.0,2016.0,07:38:00
83,18-01-2016 07:43,18-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,99d34ffb-30b7-47b0-a173-eab208046780,P2P_TRANSFER,GBP,232.23,18,1.0,2016.0,07:43:00
84,18-01-2016 15:42,18-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,85ce3977-e878-4dc1-911a-3b8a24faa42c,BANK_TRANSFER,EUR,290.5,78,1.0,2016.0,15:42:00
85,18-01-2016 16:08,18-01-2016,153cc14a-4d12-45b5-b16c-0f0280c4aab3,d6f9e4cd-86db-41f4-ae00-e47a6ea77da1,P2P_TRANSFER,EUR,276.21,14,1.0,2016.0,16:08:00
86,18-01-2016 16:17,18-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,6a26fc00-f94e-4fa9-80ba-b8df4d3972bb,BANK_TRANSFER,GBP,197.19,78,1.0,2016.0,16:17:00
87,18-01-2016 17:36,18-01-2016,25a2a6dc-4f28-4755-b6cc-c0364a2dd721,425f8015-bfa0-438b-9251-b972e2567b77,CARD_PAYMENT,GBP,184.64,1,1.0,2016.0,17:36:00
88,18-01-2016 20:25,18-01-2016,25bd1319-9263-4ab7-bbe2-713a50f32c59,690ed538-5d8c-4349-94eb-927723f0addb,CARD_PAYMENT,GBP,231.82,2,1.0,2016.0,20:25:00
89,19-01-2016 02:10,19-01-2016,87a390af-2f35-40ec-a111-16d43fc5a3e3,5e9fed0b-bc2f-42c0-bb42-316cb1b764ae,ATM,GBP,307.36,58,1.0,2016.0,02:10:00
90,19-01-2016 09:51,19-01-2016,2d9eed66-2287-454c-bb2e-f66c1b858766,8ad8d3a5-1cfe-4749-b72c-d71e7325f342,ATM,EUR,255.51,12,1.0,2016.0,09:51:00
91,19-01-2016 10:39,19-01-2016,86459777-d822-49ef-a9e0-95c2c82adeea,0e0a3556-9e71-4059-aa27-1b7e02768b37,BANK_TRANSFER,EUR,338.02,13,1.0,2016.0,10:39:00
92,19-01-2016 10:57,19-01-2016,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,89541a73-9bfb-4eab-9cf1-b7af6716ce91,TOPUP,EUR,246.79,52,1.0,2016.0,10:57:00
93,19-01-2016 11:31,19-01-2016,bdeb1766-26cd-49bd-91c4-17559c39cea1,b79ddeee-97e2-4a3c-8b15-fe4c471393f8,TOPUP,EUR,187.99,6,1.0,2016.0,11:31:00
94,19-01-2016 12:12,19-01-2016,1f5465ae-86e9-4abb-a475-fece13e55b95,520be0e6-03fc-4744-83a2-b5b39af6bb8d,BANK_TRANSFER,EUR,18.78,50,1.0,2016.0,12:12:00
95,19-01-2016 12:22,19-01-2016,97528ad1-413e-461a-9083-188da333c9e1,795030e5-dd7e-4698-8d39-e4ec1a0f3458,CARD_PAYMENT,EUR,83.63,38,1.0,2016.0,12:22:00
96,19-01-2016 13:25,19-01-2016,86459777-d822-49ef-a9e0-95c2c82adeea,2770c81e-80f6-45b1-9eef-efaf2c13df02,P2P_TRANSFER,EUR,333.07,13,1.0,2016.0,13:25:00
97,19-01-2016 13:30,19-01-2016,86459777-d822-49ef-a9e0-95c2c82adeea,d5e67010-e384-4a75-ab3c-dabc9653f643,CARD_PAYMENT,EUR,284.61,13,1.0,2016.0,13:30:00
98,19-01-2016 16:50,19-01-2016,3c29bb7f-b4fe-42a3-b9c7-84f95e3a1e61,5f8a8296-7c7d-47bf-b7d0-2dd68923e570,BANK_TRANSFER,EUR,202.35,8,1.0,2016.0,16:50:00
99,19-01-2016 17:01,19-01-2016,1319cca9-02a7-4a15-8abb-48d4e08e5aa3,4a971f53-fbab-4fa1-9c48-c6d80beb6449,CARD_PAYMENT,GBP,36.53,27,1.0,2016.0,17:01:00
100,19-01-2016 18:04,19-01-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,a6f81caf-7575-4271-b8ae-7376ed89e895,ATM,EUR,41.52,65,1.0,2016.0,18:04:00
101,19-01-2016 22:29,19-01-2016,44ce4a0d-012e-4fdb-82f1-b006799b7450,b94ef780-22c8-4cff-80fd-4ef0eee106b8,TOPUP,EUR,34.23,14,1.0,2016.0,22:29:00
102,20-01-2016 06:15,20-01-2016,5fd70cca-1685-40ad-a312-7d387f6911a9,aa7c2d08-2bf2-4221-ae25-9c7c7a55735b,BANK_TRANSFER,EUR,320.3,40,1.0,2016.0,06:15:00
103,20-01-2016 07:04,20-01-2016,be8a8ecd-f910-416a-9ced-b6647bad6d08,f5d8c0a7-f004-4e53-af96-cfd08e108d24,BANK_TRANSFER,GBP,197.84,6,1.0,2016.0,07:04:00
104,20-01-2016 08:04,20-01-2016,f79a82ed-a255-4c27-8409-66615346420c,d693f0e2-4981-4847-b0dd-4a503f8bf68e,CARD_PAYMENT,EUR,170.81,5,1.0,2016.0,08:04:00
105,20-01-2016 08:04,20-01-2016,f79a82ed-a255-4c27-8409-66615346420c,a507eb8e-b530-4649-bc49-68a50d4dd452,ATM,EUR,288.21,5,1.0,2016.0,08:04:00
106,20-01-2016 13:25,20-01-2016,f54baeeb-7282-4d23-9bb7-e8396ce1b159,1385d42c-b0f1-4590-a16c-29b0a665aef1,CARD_PAYMENT,GBP,21.12,65,1.0,2016.0,13:25:00
107,20-01-2016 14:34,20-01-2016,7aedd7a8-f400-4a8f-82cd-e32aa05c3ae7,9f054c35-fa5a-46d0-84f0-aeaf7f2fe8bb,TOPUP,EUR,102.39,23,1.0,2016.0,14:34:00
108,20-01-2016 20:11,20-01-2016,4f08e235-9549-4eb4-9949-8cb81d55e6a7,2b5296d0-0f75-47a8-bfba-5f754f4976b5,ATM,GBP,58.1,3,1.0,2016.0,20:11:00
109,20-01-2016 22:51,20-01-2016,4a96a738-e0ca-46c8-9fc3-1a814b7fbf56,a3efb698-d030-49d9-a9e4-164d2bf4f478,BANK_TRANSFER,GBP,240.7,18,1.0,2016.0,22:51:00
110,21-01-2016 00:32,21-01-2016,87a390af-2f35-40ec-a111-16d43fc5a3e3,823d1f72-0dc1-4957-ad12-0153a7606382,CARD_PAYMENT,EUR,297.85,58,1.0,2016.0,00:32:00
111,21-01-2016 02:22,21-01-2016,af11979e-0e9c-42b7-9e62-eb83fc992bad,29f40ce3-b1e2-4b52-a4d5-53e3370cf7e9,P2P_TRANSFER,GBP,139.24,1,1.0,2016.0,02:22:00
112,21-01-2016 03:16,21-01-2016,4eb205ee-5d70-49a4-9212-df2e754b8b67,9be7ffa4-a302-48a4-8bdf-d8b961aa1d26,TOPUP,GBP,131.95,12,1.0,2016.0,03:16:00
113,21-01-2016 09:50,21-01-2016,bdeb1766-26cd-49bd-91c4-17559c39cea1,6977b22b-6ac6-44f7-96c8-36be8daa898f,TOPUP,EUR,121.56,6,1.0,2016.0,09:50:00
114,21-01-2016 09:51,21-01-2016,74e92384-c36a-4f97-a847-3325f34a9b19,b5c79e76-e539-4af8-98c5-364ac34a0bf5,TOPUP,EUR,334.83,13,1.0,2016.0,09:51:00
115,21-01-2016 12:56,21-01-2016,7a30babe-4b7c-4f1b-83df-22e495d9caf1,7f6ae6d6-ae78-4b3b-9a3c-5b1aa4f2a426,BANK_TRANSFER,EUR,4.27,1,1.0,2016.0,12:56:00
116,21-01-2016 14:07,21-01-2016,d35f19f3-d9ad-48bf-bd1e-90f3ba4f0b98,1449d5ce-7724-4aa4-abb4-90f108ff5329,CARD_PAYMENT,EUR,26.31,103,1.0,2016.0,14:07:00
117,21-01-2016 20:49,21-01-2016,5cbbf004-895d-48d2-96cc-84d710aa9b95,f035e88b-1422-4d16-9bf6-3c2266da4e9d,ATM,EUR,336.66,8,1.0,2016.0,20:49:00
118,22-01-2016 05:13,22-01-2016,87a390af-2f35-40ec-a111-16d43fc5a3e3,4cfd2519-bca1-4bd5-918b-06d60a590fa4,CARD_PAYMENT,GBP,41.91,58,1.0,2016.0,05:13:00
119,22-01-2016 11:05,22-01-2016,20100a1d-12bc-41ed-a5e1-bc46216e9696,f9b9822c-8c94-4fa0-9f20-87f32e29e420,P2P_TRANSFER,GBP,340.36,78,1.0,2016.0,11:05:00
120,22-01-2016 11:08,22-01-2016,be8a8ecd-f910-416a-9ced-b6647bad6d08,56602cb3-d6fb-465b-87d4-e6c9c89b394e,BANK_TRANSFER,GBP,309.64,6,1.0,2016.0,11:08:00
121,22-01-2016 14:04,22-01-2016,44ce4a0d-012e-4fdb-82f1-b006799b7450,54ad36e5-5e26-46fe-be01-2776a1f88564,TOPUP,GBP,133.99,14,1.0,2016.0,14:04:00
122,22-01-2016 16:13,22-01-2016,9e988c5b-71d0-4f3e-8f81-b3c30aa9c240,24cd6961-8f6b-4f8d-9297-9474f2a4f4e9,TOPUP,GBP,314.2,52,1.0,2016.0,16:13:00
123,22-01-2016 20:38,22-01-2016,bd327cec-471f-4d38-adf7-decddc9e11a5,c7fb24d5-f5dd-41c2-8622-67a2815f5938,CARD_PAYMENT,EUR,112.98,6,1.0,2016.0,20:38:00
124,22-01-2016 23:14,22-01-2016,44ce4a0d-012e-4fdb-82f1-b006799b7450,30fb1e77-3c91-40e8-b176-a81b8ec48066,BANK_TRANSFER,GBP,320.95,14,1.0,2016.0,23:14:00
125,23-01-2016 04:12,23-01-2016,be8a8ecd-f910-416a-9ced-b6647bad6d08,85886700-133b-42fd-8d64-c7a932c75dca,TOPUP,EUR,328.25,6,1.0,2016.0,04:12:00
126,23-01-2016 04:32,23-01-2016,be8a8ecd-f910-416a-9ced-b6647bad6d08,73083cfe-1e39-4faa-90d6-098c691f4592,CARD_PAYMENT,EUR,288.14,6,1.0,2016.0,04:32:00
127,23-01-2016 10:01,23-01-2016,45e3c222-38ac-4fdb-b092-ff1639e4438c,56fbbd46-23bb-4d78-85b3-eff397c2b747,CARD_PAYMENT,GBP,130.19,43,1.0,2016.0,10:01:00
128,23-01-2016 10:37,23-01-2016,45e3c222-38ac-4fdb-b092-ff1639e4438c,6c32273c-aff8-45e2-9dc8-5a07ee33ea43,BANK_TRANSFER,GBP,348.11,43,1.0,2016.0,10:37:00
129,23-01-2016 10:49,23-01-2016,4f08e235-9549-4eb4-9949-8cb81d55e6a7,2fc79866-9a5f-424c-9732-31041185382f,ATM,GBP,17.68,3,1.0,2016.0,10:49:00
